"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","302","Positive: Неидемпотентность POST - два запроса с одинаковым телом создают разные объявления","Сервис объявлений","Wed Mar 25 19:57:46 UTC 2026","passed","Wed Mar 25 19:57:46 UTC 2026","Создание объявления","Объявления","",""
"","155","Negative: Создание объявления с отрицательным sellerID","Сервис объявлений","Wed Mar 25 19:57:51 UTC 2026","skipped","Wed Mar 25 19:57:51 UTC 2026","Создание объявления","Объявления","",""
"","158","Negative: Создание объявления с пустым именем","Сервис объявлений","Wed Mar 25 19:57:52 UTC 2026","passed","Wed Mar 25 19:57:52 UTC 2026","Создание объявления","Объявления","",""
"","162","Negative: Создание объявления с sellerID как null","Сервис объявлений","Wed Mar 25 19:57:54 UTC 2026","passed","Wed Mar 25 19:57:55 UTC 2026","Создание объявления","Объявления","",""
"","298","Positive: GET статистики не изменяет счетчик просмотров","Сервис объявлений","Wed Mar 25 19:58:26 UTC 2026","passed","Wed Mar 25 19:58:27 UTC 2026","Получение статистики","Статистика","",""
"","159","Negative: POST /api/1/item с пустым телом","Сервис объявлений","Wed Mar 25 19:58:35 UTC 2026","skipped","Wed Mar 25 19:58:35 UTC 2026","HTTP-контракт","Объявления","",""
"","174","Negative: Получение объявлений с отрицательным sellerID","Сервис объявлений","Wed Mar 25 19:58:25 UTC 2026","skipped","Wed Mar 25 19:58:25 UTC 2026","Получение объявлений продавца","Объявления","",""
"","156","Negative: Создание объявления с likes дробным числом в statistics","Сервис объявлений","Wed Mar 25 19:57:56 UTC 2026","passed","Wed Mar 25 19:57:56 UTC 2026","Создание объявления","Объявления","",""
"","155","Negative: Создание объявления с sellerID = 0","Сервис объявлений","Wed Mar 25 19:57:50 UTC 2026","passed","Wed Mar 25 19:57:51 UTC 2026","Создание объявления","Объявления","",""
"","160","Negative: Создание объявления без поля price","Сервис объявлений","Wed Mar 25 19:57:48 UTC 2026","passed","Wed Mar 25 19:57:48 UTC 2026","Создание объявления","Объявления","",""
"","304","Positive: Идемпотентность GET: два запроса возвращают одинаковый результат","Сервис объявлений","Wed Mar 25 19:58:06 UTC 2026","passed","Wed Mar 25 19:58:06 UTC 2026","Получение объявления","Объявления","",""
"","151","Negative: Создание объявления с отрицательным количеством лайков","Сервис объявлений","Wed Mar 25 19:57:51 UTC 2026","skipped","Wed Mar 25 19:57:51 UTC 2026","Создание объявления","Объявления","",""
"","155","Negative: Создание объявления с contacts строкой в statistics","Сервис объявлений","Wed Mar 25 19:57:55 UTC 2026","passed","Wed Mar 25 19:57:56 UTC 2026","Создание объявления","Объявления","",""
"","155","Negative: POST /api/1/item с невалидным JSON","Сервис объявлений","Wed Mar 25 19:58:35 UTC 2026","skipped","Wed Mar 25 19:58:35 UTC 2026","HTTP-контракт","Объявления","",""
"","163","Positive: Создание объявления с нулевой статистикой","Сервис объявлений","Wed Mar 25 19:57:46 UTC 2026","skipped","Wed Mar 25 19:57:46 UTC 2026","Создание объявления","Объявления","",""
"","159","Positive: Получение объявления по ID","Сервис объявлений","Wed Mar 25 19:58:05 UTC 2026","passed","Wed Mar 25 19:58:05 UTC 2026","Получение объявления","Объявления","",""
"","155","Контракт: схема ошибки GET /api/1/statistic/invalid-id","Сервис объявлений","Wed Mar 25 19:58:34 UTC 2026","passed","Wed Mar 25 19:58:34 UTC 2026","HTTP-контракт","Объявления","",""
"","155","Контракт: схема ошибки GET /api/1/item/invalid-id","Сервис объявлений","Wed Mar 25 19:58:33 UTC 2026","passed","Wed Mar 25 19:58:34 UTC 2026","HTTP-контракт","Объявления","",""
"","156","Negative: Создание объявления без поля likes в statistics","Сервис объявлений","Wed Mar 25 19:57:49 UTC 2026","passed","Wed Mar 25 19:57:49 UTC 2026","Создание объявления","Объявления","",""
"","147","Negative: PATCH /api/2/statistic/:id возвращает 405","Сервис объявлений","Wed Mar 25 19:58:33 UTC 2026","passed","Wed Mar 25 19:58:33 UTC 2026","HTTP-контракт","Объявления","",""
"","476","Positive: Получение всех объявлений продавца","Сервис объявлений","Wed Mar 25 19:58:07 UTC 2026","passed","Wed Mar 25 19:58:08 UTC 2026","Получение объявлений продавца","Объявления","",""
"","146","Negative: PUT /api/1/item/:id возвращает 405","Сервис объявлений","Wed Mar 25 19:58:31 UTC 2026","passed","Wed Mar 25 19:58:32 UTC 2026","HTTP-контракт","Объявления","",""
"","169","Positive: Получение объявлений продавца без объявлений","Сервис объявлений","Wed Mar 25 19:58:08 UTC 2026","passed","Wed Mar 25 19:58:08 UTC 2026","Получение объявлений продавца","Объявления","",""
"","147","Positive: GET /statistic/:id возвращает объект, а не массив","Сервис объявлений","Wed Mar 25 19:58:26 UTC 2026","skipped","Wed Mar 25 19:58:26 UTC 2026","Получение статистики","Статистика","",""
"","1249","Positive: Полный жизненный цикл объявления: создание -> получение -> статистика -> удаление","Сервис объявлений","Wed Mar 25 19:58:01 UTC 2026","passed","Wed Mar 25 19:58:02 UTC 2026","E2E","E2E","",""
"","154","Negative: Получение объявления с невалидным форматом ID","Сервис объявлений","Wed Mar 25 19:58:07 UTC 2026","passed","Wed Mar 25 19:58:07 UTC 2026","Получение объявления","Объявления","",""
"","156","Negative: Создание объявления без поля name","Сервис объявлений","Wed Mar 25 19:57:48 UTC 2026","passed","Wed Mar 25 19:57:48 UTC 2026","Создание объявления","Объявления","",""
"","159","Negative: Создание объявления с name числом","Сервис объявлений","Wed Mar 25 19:57:54 UTC 2026","passed","Wed Mar 25 19:57:54 UTC 2026","Создание объявления","Объявления","",""
"","160","Negative: Создание объявления без поля contacts в statistics","Сервис объявлений","Wed Mar 25 19:57:49 UTC 2026","passed","Wed Mar 25 19:57:49 UTC 2026","Создание объявления","Объявления","",""
"","304","Contract: Создание объявления с лишним полем в корне тела - API игнорирует","Сервис объявлений","Wed Mar 25 19:57:58 UTC 2026","passed","Wed Mar 25 19:57:58 UTC 2026","Создание объявления","Объявления","",""
"","155","Negative: Создание объявления с sellerID строкой","Сервис объявлений","Wed Mar 25 19:57:53 UTC 2026","passed","Wed Mar 25 19:57:54 UTC 2026","Создание объявления","Объявления","",""
"","155","Negative: Создание объявления с viewCount дробным числом в statistics","Сервис объявлений","Wed Mar 25 19:57:56 UTC 2026","passed","Wed Mar 25 19:57:56 UTC 2026","Создание объявления","Объявления","",""
